Name ,Content,Collection,Year of Publication
,,,
Stopping by Woods on a Snowy Evening,"Whose woods these are I think I know.   
His house is in the village though;   
He will not see me stopping here   
To watch his woods fill up with snow.   
My little horse must think it queer   
To stop without a farmhouse near   
Between the woods and frozen lake   
The darkest evening of the year.   
He gives his harness bells a shake   
To ask if there is some mistake.   
The only other sound’s the sweep   
Of easy wind and downy flake.   
The woods are lovely, dark and deep,   
But I have promises to keep,   
And miles to go before I sleep,   
And miles to go before I sleep.
",New Hampshire,1923
Fire and Ice,"Some say the world will end in fire,
Some say in ice.
From what I’ve tasted of desire
I hold with those who favor fire.
But if it had to perish twice,
I think I know enough of hate
To say that for destruction ice
Is also great
And would suffice.
",New Hampshire,1923
The Aim was Song,"Before man came to blow it right
The wind once blew itself untaught,
And did its loudest day and night
In any rough place where it caught.
Man came to tell it what was wrong:
It hadn’t found the place to blow;
It blew too hard the aim was song.
And listen how it ought to go!
He took a little in his mouth,
And held it long enough for north
To be converted into south,
And then by measure blew it forth. 
By measure. It was word and note,
The wind the wind had meant to be
A little through the lips and throat.
The aim was song the wind could see.
",New Hampshire,1923
The Need of Being Versed in Country Things,"The house had gone to bring again
To the midnight sky a sunset glow.
Now the chimney was all of the house that stood,
Like a pistil after the petals go. 
The barn opposed across the way,
That would have joined the house in flame
Had it been the will of the wind, was left
To bear forsaken the place’s name. 
No more it opened with all one end
For teams that came by the stony road
To drum on the floor with scurrying hoofs
And brush the mow with the summer load. 
The birds that came to it through the air
At broken windows flew out and in,
Their murmur more like the sigh we sigh
From too much dwelling on what has been. 
Yet for them the lilac renewed its leaf,
And the aged elm, though touched with fire;
And the dry pump flung up an awkward arm;
And the fence post carried a strand of wire.
For them there was really nothing sad.
But though they rejoiced in the nest they kept,
One had to be versed in country things
Not to believe the phoebes wept.
",New Hampshire,1923
I Will Sing You One O,"It was long I lay
Awake that night
Wishing the tower
Would name the hour
And tell me whether
To call it day
Though not yet light
And give up sleep.
The snow fell deep
With the hiss of spray;
Two winds would meet,
One down one street,
One down another,
And fight in a smother
Of dust and feather.
I could not say,
But feared the cold
Had checked the pace
Of the tower clock
By tying together
Its hands of gold
Before its face.
Then came one knock!
A note unruffled
Of earthly weather,
Though strange and muffled.
The tower said, One!
And then a steeple.
They spoke to themselves
And such few people
As winds might rouse
From sleeping warm
But not unhouse.
They left the storm
That struck en masse
My window glass
Like a beaded fur.
In that grave One
They spoke of the sun
And moon and stars,
Saturn and Mars
And Jupiter.
Still more unfettered,
They left the named
And spoke of the lettered,
The sigmas and taus
Of constellations.
They filled their throats
With the furthest bodies
To which man sends his
Speculation,
Beyond which God is;
The cosmic motes
Of yawning lenses.
Their solemn peals
Were not their own:
They spoke for the clock
With whose vast wheels
Theirs interlock.
In that grave word
Uttered alone
The utmost star
Trembled and stirred,
Though set so far
Its whirling frenzies
Appear like standing
In one self station.
It has not ranged,
And save for the wonder
Of once expanding
To be a nova,
It has not changed
To the eye of man
On planets over
Around and under
It in creation
Since man began
To drag down man
And nation nation.
",New Hampshire,1923
"For Once, Then, Something","Others taunt me with having knelt at well-curbs
Always wrong to the light, so never seeing
Deeper down in the well than where the water
Gives me back in a shining surface picture
Me myself in the summer heaven godlike
Looking out of a wreath of fern and cloud puffs.
Once, when trying with chin against a well-curb,
I discerned, as I thought, beyond the picture,
Through the picture, a something white, uncertain,
Something more of the depths—and then I lost it.
Water came to rebuke the too clear water.
One drop fell from a fern, and lo, a ripple
Shook whatever it was lay there at bottom,
Blurred it, blotted it out. What was that whiteness?
Truth? A pebble of quartz? For once, then, something.
",New Hampshire,1923
The Onset,"Always the same, when on a fated night
At last the gathered snow lets down as white
As may be in dark woods, and with a song
It shall not make again all winter long
Of hissing on the yet uncovered ground,
I almost stumble looking up and round,
As one who overtaken by the end
Gives up his errand, and lets death descend
Upon him where he is, with nothing done
To evil, no important triumph won,
More than if life had never been begun.
Yet all the precedent is on my side:
I know that winter death has never tried
The earth but it has failed: the snow may heap
In long storms an undrifted four feet deep
As measured again maple, birch, and oak,
It cannot check the peeper’s silver croak;
And I shall see the snow all go down hill
In water of a slender April rill
That flashes tail through last year’s withered brake
And dead weeds, like a disappearing snake.
Nothing will be left white but here a birch,
And there a clump of houses with a church.
",New Hampshire,1923
Nothing Gold Can Stay,"Nature’s first green is gold,
Her hardest hue to hold.
Her early leaf’s a flower;
But only so an hour.
Then leaf subsides to leaf.
So Eden sank to grief,
So dawn goes down to day.
Nothing gold can stay
",New Hampshire,1923
Tree at my Window,"Tree at my window, window tree,
My sash is lowered when night comes on;
But let there never be curtain drawn
Between you and me.
Vague dream head lifted out of the ground,
And thing next most diffuse to cloud,
Not all your light tongues talking aloud
Could be profound.
But tree, I have seen you taken and tossed,
And if you have seen me when I slept,
You have seen me when I was taken and swept
And all but lost.
That day she put our heads together,
Fate had her imagination about her,
Your head so much concerned with outer,
Mine with inner, weather.
",West-Running Book,1928
